Title,Magazine[Language],Magazine[Origin],Magazine[Start date],Magazine[End date],Magazine[Systems],Magazine[Issues],Magazine[Source]
Inquire,,,01.01.1994,01.10.1994,"AMIGA AGA, AMIGA OCS/ECS","Inquire 1, Inquire 2, Inquire 3, Inquire 4, Inquire 5",Demozoo
Inquiry,English,,29.01.1993,29.01.1993,Commodore 64,"Inquiry #1, Inquiry #1 (1993 01 29)(Elysium)","CSDB, Demozoo, Internet Archive"
Insane,English,,01.11.1989,01.01.1991,Commodore 64,"Insane #001, Insane #002, Insane #003, Insane #003 (1990 04)(X Out), Insane #004, Insane #005, Insane #005 (1990 05 26)(X Out), Insane #006 Advertisement, Insane #007, Insane #1 (1990)(X Out), Insane #2 (1989)(X Out), Insane #3 (1990)(X Out), Insane #4 (19xx)(X Out), Insane #5 (19xx)(X Out), Insane #6 (19xx)(X Out), Insane Preview, Insane Preview (1991)(Sabian)","CSDB, Demozoo, Internet Archive, Pouet"
Insane Inc. magazine,,,08.11.2000,15.01.2001,MS-DOS,"Insane Inc. magazine #1, Insane Inc. magazine #1 [v1.1], Insane Inc. magazine #2: Road to Insanity",Internet Archive
Insane Reality,,,29.07.1993,01.07.1994,MS-DOS,"Insane Reality Issue #1, Insane Reality Issue #2, Insane Reality Issue #3, Insane Reality Issue #4, Insane Reality Issue #5",Demozoo
Insanity,Russian,Russia,20.07.1999,30.11.2001,ZX Spectrum,"Insanity #01, Insanity #02, Insanity #03, Insanity #04, Insanity #05, Insanity #06, Insanity #07, Insanity #08, Insanity #09, Insanity #10",ZXpress
Insanity,,,01.01.1996,01.06.1996,AMIGA OCS/ECS,"Insanity 1, Insanity 2, Insanity 3, Insanity 4, Insanity 5",Demozoo
"Insanity, Insanity Magazine",English,,01.09.1991,23.12.1991,MS-DOS,"Insanity #1, Insanity #2, Insanity #3, Insanity Magazine #1, Insanity Magazine #2, Insanity Magazine #3","Demozoo, Internet Archive, Pouet"
Inside Connection,English,,01.01.1992,01.01.1992,Commodore 64,"The Inside Connection #01, The Inside Connection #02, The Inside Connection #03, The Inside Connection #3 (19xx)( )","CSDB, Internet Archive"
Inside Info,,,,,ATARI ST/E,"Inside Info 49, Inside Info 51, Inside Info 53, Inside Info 54, Inside Info 56, Inside Info 57",Demozoo
Inside View,English,,01.06.1990,01.06.1990,Commodore 64,"Inside View #001, Inside View #1 (1990)(United Artists)","CSDB, Internet Archive"
Insider,English,,01.10.1993,29.03.1998,Commodore 64,"insider #1, Insider #1, insider #2, Insider #2, Insider #2 (1994 04 08)(Reflex), insider #3, Insider #3, Insider #4, insider #4, Insider #4 (1995 01 13)(Reflex)(Side A), insider #6, Insider #6, Insider #6 (1996 03 17)(Reflex), insider #7, Insider #7, Insider #7 (1998 03 29)(Reflex)(Side A), Insider 1, Insider 2, Insider 3, Insider 4, Insider 6, Insider 7","CSDB, Demozoo, Internet Archive, Pouet"
Insight,English,,01.12.1995,01.12.1997,MS-DOS,"Insight #1, Insight #2, Insight 1, Insight 2","Demozoo, Pouet"
"Insight, Insight Magazine",English,,01.01.1991,01.05.1991,Commodore 64,"Insight #1, Insight #1 (1991 02)(Insight Staff), Insight #2, Insight #2 (1991 03)(Insight Staff), Insight #3, Insight #3 (1991 04)(Insight Staff), Insight #4, Insight #4 (1991 05)(Insight Staff), Insight Magazine Preview, Insight Magazine Preview (1991)(Insight Staff X Factor)","CSDB, Demozoo, Internet Archive, Pouet"
Insomnia,,,07.06.1997,01.09.1998,"AMIGA AGA, AMIGA OCS/ECS","insomnia #1, insomnia #2, insomnia #3, Insomnia 1, Insomnia 2, Insomnia 3","Demozoo, Pouet"
Insomnia,,,01.12.1994,01.12.1994,MS-DOS,Insomnia Issue #1,Demozoo
instant pack,,,01.01.2002,01.01.2002,AMIGA AGA,instant pack #01,Pouet
Intel Outside,English,,01.12.1998,10.12.2000,Commodore 64,"Intel Outside #1, Intel Outside #1 (1998 12 15)(SaNiTy)(de), Intel Outside #2, Intel Outside #2 (1999 03 15)(SaNiTy)(de), Intel Outside #3, Intel Outside #3 (1999)(Sanity)(de), Intel Outside #4, Intel Outside #4 (1999 10 31)(Sanity)(de), Intel Outside #5, Intel Outside #5 (1999 12 11)(Sanity)(de)(Side A), Intel Outside #6, Intel Outside #6 (2000 02 15)(SaNiTy)(de), Intel Outside #7, Intel Outside #7 (2000 04 21)(Sanity)(de), Intel Outside #8, Intel Outside #8 (2000 09 10)(Sanity)(de), Intel Outside #9, Intel Outside #9 (2000 12 10)(Sanity)(de)(Side A)","CSDB, Internet Archive, Pouet"
Interaction,,,,,ATARI ST/E,Interaction,Demozoo
Interactive Fantasies 3rd Birthday Celebration magazine,,,01.06.1999,01.06.1999,MS-DOS,Interactive Fantasies 3rd Birthday Celebration magazine,Internet Archive
Intern News,,,01.01.1992,01.01.1992,AMIGA OCS/ECS,Intern News 5,Demozoo
Internal,English,,01.11.1989,11.10.2002,Commodore 64,"Internal #01, Internal #01 (1990 04 21)(Unicess), Internal #01 preview, Internal #02, Internal #03, Internal #04, Internal #05, Internal #06, Internal #07, Internal #08, Internal #09, Internal #10, Internal #10 Note (1990)(Warriors of the Wasteland), Internal #11, Internal #12, Internal #13, Internal #14, Internal #15, Internal #16, Internal #17, Internal #18, Internal #19, Internal #20, Internal #21, Internal #22, Internal #23, Internal #24, Internal #25, Internal #26, Internal #27, Internal #28, Internal #29, internal #29, Internal 1, Internal 1 Preview, Internal 10, Internal 11, Internal 12, Internal 13, Internal 14, Internal 15, Internal 16, Internal 17, Internal 18, Internal 19, Internal 2, Internal 20, Internal 21, Internal 22, Internal 23, Internal 24, Internal 25, Internal 26, Internal 27, Internal 28, Internal 29, Internal 3, Internal 4, Internal 5, Internal 6, Internal 7, Internal 8, Internal 9, Internal Issue #01 Preview (1990 03 17)(Unicess), Internal Issue #02 (1990)(Warriors of the Wasteland), Internal Issue #03 (19xx)(Dynamic Design), Internal Issue #08 (1991 06)(Warriors of the Wasteland), Internal Issue #10 (1991 10 01)(Warriors of the Wasteland), Internal Issue #12 (1992 01 01)(Warriors of the Wasteland), Internal Issue #13 (1992 02)(Warriors of the Wasteland), Internal Issue #14 (1992 05 01)(Warriors of the Wasteland Rush), Internal Issue #14 (19xx)(Warriors of the Wasteland & Rush), Internal Issue #15 (1992 07 01)(Warriors of the Wasteland Rush), Internal Issue #16 (1992 09 10)(Warriors of the Wasteland), Internal Issue #17 (1993 01)(Warriors of the Wasteland), Internal Issue #18 (1993 10 01)(Warriors of the Wasteland)(Side A), Internal Issue #19 (1993 12)(Warriors of the Wasteland), Internal Issue #22 (1996)(Warriors of the Wasteland), Internal Issue #25 (19xx)(Warriors of the Wasteland), Internal Issue #27 (2001)(Warriors of the Wasteland), Internal Issue #28 (2002 02 02)(Warriors of the Wasteland), Internal Issue #29 (2002)(Warriors of the Wasteland), Internal The Party 6 Edition (1996)(Warriors of the Wasteland), Internal TP6 Issue, Internal TP6 issue, Internal TP6 Issue (1996 12)(Warriors of the Wasteland)","CSDB, Demozoo, Internet Archive, Pouet"
Internews,"English, Polish",,01.11.1990,01.11.1993,Commodore 64,"Internews #01 (1992 08 20)(Crazy Boys), Internews #02 (1991)(Heartbeat), Internews #04 (1992)(Heartbeat), Internews #06 (1992 06)(Heartbeat), Internews #07 (1992 09)(Heartbeat), Internews #09 (19xx)(Brutal), Internews #1, Internews #1 (1991)(The Cracker Duo), Internews #1 (Polish), Internews #1 [polish], Internews #10, Internews #10 (1993 11)(X Factor), Internews #2, Internews #3, Internews #4, Internews #5, Internews #5 (1992)(Heartbeat), Internews #6, Internews #7, Internews #8, Internews #8 (1993 01)(Heartbeat), Internews #9, Internews #9 (1993 04)(X Factor), Internews 1, Internews 6","CSDB, Demozoo, Internet Archive, Pouet"
Interpose Review,,,01.04.1997,01.04.1997,MS-DOS,Interpose Review,Demozoo
Interstate 76 Review,,,23.03.1997,23.03.1997,MS-DOS,Interstate 76 Review,Demozoo
Intoxication,,,22.02.1997,22.02.1997,Commodore 64,Intoxication,Demozoo
Inverse,English,,04.11.1996,13.03.2003,Commodore 64,"Inverse #02 (1997 08 26)(Oxygen)(Side A), Inverse #03 (1998 02 20)(Oxygen)(Side A), Inverse #04 (19xx)(Oxygen)(Side A), Inverse #06 (1999 09)(Oxygen)(Side A), Inverse #08 (19xx)(Oxygen)(Side A), Inverse #09 (2001 10 31)(Oxygen)(Side A), Inverse #1, Inverse #10, Inverse #10 (2002 06 20)(Oxygen)(Side A), Inverse #11, Inverse #11 (2003 03 13)(Oxygen)(Side A), Inverse #2, Inverse #3, Inverse #4, Inverse #5, Inverse #6, Inverse #7, Inverse #8, Inverse #9","CSDB, Internet Archive, Pouet"
"Iridium, Iridium Magazine",English,,01.08.1993,01.02.1994,MS-DOS,"Iridium #1, Iridium Magazine Issue #1, Iridium Magazine Issue #2, Iridium Magazine Issue #3","Demozoo, Internet Archive, Pouet"
"Iron & Blood Review, Iron Blood Review",,,25.03.1997,29.06.1997,MS-DOS,"Iron & Blood Review, Iron Blood Review",Demozoo
Irregular Review,,,01.08.2016,10.12.2017,AMIGA OCS/ECS,"Irregular Review #1, Irregular Review #2, Irregular Review #3, Irregular Review #4","Demozoo, Pouet"
IsPoint magazine,,,08.12.2000,03.04.2001,MS-DOS,"IsPoint magazine #1, IsPoint magazine #2, IsPoint magazine #4",Internet Archive
Italian Charts,,,01.02.1993,01.02.1993,AMIGA OCS/ECS,Italian Charts 1,Demozoo
IzhNews,Russian,Russia,17.10.1999,18.04.2003,ZX Spectrum,"IzhNews #01, IzhNews #02, IzhNews #03, IzhNews #04, IzhNews #05, IzhNews #06, IzhNews #07, IzhNews #08, IzhNews #09, IzhNews #0A, IzhNews #0B, IzhNews #0C, IzhNews #0D, IzhNews #0E, izhnews #13, IzhNews #2002","Pouet, ZXpress"
Iznogoud Review,,,13.07.1997,13.07.1997,MS-DOS,Iznogoud Review,Demozoo
Izviestia,,,01.11.1995,01.01.1998,"AMIGA AGA, AMIGA OCS/ECS","Izviestia 10, Izviestia 11, Izviestia 12, Izviestia 9",Demozoo
Izwiestia,,,01.04.1995,01.01.1996,MS-DOS,"Izwiestia #2, Izwiestia #3, Izwiestia #4, Izwiestia 2, Izwiestia 3, Izwiestia 4","Demozoo, Pouet"
J.G Zin,,,01.12.1997,01.12.1997,ATARI 8 BIT,J.G Zin #1,Demozoo
Jack Nicklaus Golf 4 Review,,,22.03.1997,22.03.1997,MS-DOS,Jack Nicklaus Golf 4 Review,Demozoo
Jackpot Preview,,,,,Commodore 64,Jackpot Preview,CSDB
Jamaica,English,,01.01.1992,01.03.1995,Commodore 64,"Jamaica #01 (1992 10 31)(Jam), Jamaica #02 (19xx)(Jam), Jamaica #03 (19xx)(Jam), Jamaica #04 (1993 05 01)(Jam), Jamaica #05 (1993 06 27)(Jam), Jamaica #06 (1993 10 10)(Jam), Jamaica #07 (1993 12 24)(Jam), Jamaica #08 (19xx)(Jam), Jamaica #09 (1994)(Jam), Jamaica #1, Jamaica #10, Jamaica #10 (1994)(Jam), Jamaica #11, Jamaica #11 (1994 10 10)(Jam), Jamaica #12, Jamaica #12 (19xx)(Jam), Jamaica #2, Jamaica #3, Jamaica #4, Jamaica #5, Jamaica #6, Jamaica #7, Jamaica #8, Jamaica #9","CSDB, Internet Archive, Pouet"
January 1991 Catalogue (V2),,,01.01.1991,01.01.1991,ATARI ST/E,January 1991 Catalogue (V2),Demozoo
Jestem - Preview,,,01.01.1995,01.01.1995,AMIGA OCS/ECS,Jestem - Preview,Demozoo
Johnnys Quest Review,,,02.01.1994,02.01.1994,MS-DOS,Johnnys Quest Review,Demozoo
Joint,Russian,Russia,31.01.2006,31.01.2006,ZX Spectrum,Joint #01,ZXpress
Joke disk,,,,,Atari ST,Joke disk #1,Pouet
Jokerama,,,01.01.1991,01.01.1991,AMIGA OCS/ECS,"Jokerama 1, Jokerama 2",Demozoo
Jolly Roger,,,01.01.1990,01.03.1991,AMIGA OCS/ECS,"Jolly Roger #1, Jolly Roger #3, Jolly Roger #4, Jolly Roger 1, Jolly Roger 2, Jolly Roger 3, Jolly Roger 4, Jolly Roger 5","Demozoo, Pouet"
Jolly Roger's Cookbook III,,,,,ATARI ST/E,Jolly Roger's Cookbook III,Demozoo
"Jong, Snel & Wild",,,01.01.1993,07.01.1995,AMIGA OCS/ECS,"Jong, Snel & Wild 10, Snel & Wild 12, Snel & Wild 13, Snel & Wild 15, Snel & Wild 16, Snel & Wild 17, Snel & Wild 18, Snel & Wild 19, Snel & Wild 2, Snel & Wild 20, Snel & Wild 6, Snel & Wild 7, Snel & Wild 9",Demozoo
Joyride,,,01.01.1993,11.04.1993,AMIGA OCS/ECS,"Joyride 1, Joyride 2","Demozoo, Pouet"
Juice,,,01.12.1996,01.12.1996,MS-DOS,"Juice #1, juice #1","Demozoo, Pouet"
Jul Baja,English,,01.01.1993,01.01.1993,Commodore 64,"Jul Baja #1, Jul Baja #1 (19xx)(Rulers)","CSDB, Internet Archive"
Jungle Strike Review,,,25.03.1995,25.03.1995,MS-DOS,Jungle Strike Review,Demozoo
Jurassic Pack,,,01.08.1995,05.04.2022,"AMIGA AGA, AMIGA OCS/ECS","Jurassic Pack #09, jurassic pack #10, Jurassic Pack #11, jurassic pack #12, Jurassic Pack #13, Jurassic Pack #14, Jurassic Pack #15, Jurassic Pack #16, Jurassic Pack #17, jurassic pack #18, jurassic pack #19, Jurassic Pack 0, Jurassic Pack 1, Jurassic Pack 10, Jurassic Pack 11, Jurassic Pack 12, Jurassic Pack 13, Jurassic Pack 14, Jurassic Pack 15, Jurassic Pack 16, Jurassic Pack 17, Jurassic Pack 18, Jurassic Pack 19, Jurassic Pack 2, Jurassic Pack 3, Jurassic Pack 4, Jurassic Pack 5, Jurassic Pack 6, Jurassic Pack 7, Jurassic Pack 8, Jurassic Pack 9, Jurassic Pack Preview","Demozoo, Pouet"
Just The Facts,,,01.02.1998,01.05.1999,WINDOWS,"Just The Facts #1, Just The Facts #10, Just The Facts #11, Just The Facts #12, Just The Facts #13, Just The Facts #14, Just The Facts #15, Just The Facts #16, Just The Facts #2, Just The Facts #3, Just The Facts #4, Just The Facts #5, Just The Facts #6, Just The Facts #7, Just The Facts #8, Just The Facts #9","Demozoo, Pouet"
"Justice 4 All, JusticeAll",English,,01.01.1990,18.08.1990,Commodore 64,"Justice 4 All #01, Justice 4 All #02, Justice 4 All #1 (19xx)(Megadeath)","CSDB, Demozoo, Internet Archive, Pouet"
K-Rad & Elite 2,,,21.04.1995,21.04.1995,AMIGA OCS/ECS,K-Rad & Elite 2,Demozoo
Kal-Ko,English,,17.09.1990,17.09.1990,Commodore 64,"Kal Ko #02 (1990 09 17)(The Mosh Masters), Kal-Ko #02","CSDB, Internet Archive"
Kalafior,"English, Polish",,01.01.1999,01.01.2003,Commodore 64,"Kalafior #01 (1999)(Lasser)(pl)(Side A), Kalafior #03 (2000 08 05)(Lasser)(pl), Kalafior #03 + Edit (19xx)(Lasser)(pl), Kalafior #1, Kalafior #2, Kalafior #2 (1999 06)(Lasser)(pl), Kalafior #3, Kalafior #4, Kalafior 3","CSDB, Demozoo, Internet Archive"
Kangarookie,English,,,,Commodore 64,Kangarookie #01 (19xx)( ),Internet Archive
Karampuk Pack,Polish,,01.07.1997,01.07.1997,Commodore 64,"Karampuk Pack, Karampuk Pack (1997 07 01)(Faith Design)(Side A)","CSDB, Internet Archive, Pouet"
Karmelia,,,19.12.1992,25.03.2016,AMIGA OCS/ECS,"Karmelia 1, Karmelia 2, Karmelia 3, Karmelia 4","Demozoo, Pouet"
Katharsis Review,,,04.06.1997,04.06.1997,MS-DOS,Katharsis Review,Demozoo
Kebab,"English, Polish",,01.10.1990,01.11.1990,Commodore 64,"Kebab #02 (1990 09)(Science 451), Kebab #03 (1990)(Science 451), Kebab #3 [polish], Kebab #4 [polish]","CSDB, Internet Archive"
"Kebab, Kebab Magazine",,,01.09.1990,01.02.1991,AMIGA OCS/ECS,"Kebab 1, Kebab 2, Kebab 3, Kebab 4, Kebab 5, Kebab Magazine Nr 1, Kebab Magazine Nr 2, Kebab Magazine Nr 3, Kebab Magazine Nr 4, Kebab Magazine Nr 5","Demozoo, Pouet"
Kelaug,,,,,ATARI ST/E,"Kelaug Issue 1, Kelaug Issue 10, Kelaug Issue 11, Kelaug Issue 2, Kelaug Issue 3, Kelaug Issue 4, Kelaug Issue 5, Kelaug Issue 6, Kelaug Issue 7, Kelaug Issue 8, Kelaug Issue 9",Demozoo
Kelstar,,,01.01.1995,01.01.1997,ATARI ST/E,"Kelstar Club Disk 2, Kelstar Club Disk 3, Kelstar II Issue 1, Kelstar Issue 1, Kelstar Issue 2, Kelstar Issue 3, Kelstar Issue 4, Kelstar Issue 5, Kelstar Issue 6, Kelstar Issue 7",Demozoo
Kendermag,,08.09.1997,08.09.1997,08.09.1997,MS-DOS,"Kendermag #1, Kendermag #16",Demozoo
Key,Russian,Russia,30.05.2003,30.05.2003,ZX Spectrum,Key #01,ZXpress
Kick Off 97 Review,,,15.03.1997,15.03.1997,MS-DOS,Kick Off 97 Review,Demozoo
Kickdown,,,01.01.1995,01.04.1996,AMIGA AGA,"Kickdown #01, Kickdown #02, Kickdown #03, Kickdown #04, Kickdown #05, Kickdown #06, Kickdown #07, Kickdown #10, Kickdown #13, Kickdown #16, Kickdown #17, Kickdown #18, Kickdown #19, Kickdown #20, Kickdown #21, Kickdown #22",Pouet
KiiA Info,Russian,Russia,11.03.1992,25.06.1992,ZX Spectrum,"KiiA Info #01, KiiA Info #02, KiiA Info #03, KiiA Info #04, KiiA Info #05, KiiA Info #06",ZXpress
Killer-Drive 64,German,,01.01.1998,15.02.2000,Commodore 64,"Killer Drive 64 #03 (1998)( )(de)(Side A), Killer Drive 64 #04 (1998)( )(de)(Side A), Killer Drive 64 #05 (1998)( )(de)(Side A), Killer Drive 64 #06 (1998)( )(de)(Side A), Killer Drive 64 #07 (19xx)( )(de)(Side A), Killer Drive 64 #08 (1998)( )(de)(Side A), Killer Drive 64 #09 (1999 02 22)(Lagune)(Side A), Killer Drive 64 #09 (1999)( )(de)(Side A), Killer Drive 64 #10 (2000)( )(de), Killer-Drive #7, Killer-Drive 64 #10 [german], Killer-Drive 64 #2 [german], Killer-Drive 64 #5 [german], Killer-Drive 64 #7 [german], Killer-Drive 64 #8 [german], Killer-Drive 64 #9 [german]","CSDB, Internet Archive, Pouet"
Kishka,,,01.01.1995,01.01.1995,Commodore 64,Kishka #1,"CSDB, Pouet"
Kithe,English,,01.10.1994,01.11.1997,MS-DOS,"Kithe #1, kithe #1, Kithe #10, Kithe #11, Kithe #11 - the Kithe Cookbook, Kithe #12, Kithe #13, Kithe #14, Kithe #2, Kithe #3, Kithe #4, Kithe #5, Kithe #6, Kithe #7, Kithe #8, Kithe #9","Demozoo, Internet Archive, Pouet"
KMAC,Polish,,30.08.1997,24.12.2018,"AMIGA AGA, AMIGA OCS/ECS","KMAC #6, KMAC 1, KMAC 3, KMAC 4, KMAC 5","Demozoo, Pouet"
"Knakebr0d, Knakebrød, Knakebroed",English,,01.01.1993,01.01.1993,Commodore 64,"Knakebroed #1 (1993)(Epic), Knakebrød #1","CSDB, Internet Archive"
Kosme,Russian,Russia,30.04.2001,30.04.2001,ZX Spectrum,Kosme #00,ZXpress
kpukdva,,,01.02.2002,01.02.2002,ZX Spectrum,kpukdva,Pouet
Krawall,,,28.08.2011,28.08.2011,,Krawall,Demozoo
Kraweznik,"English, Polish",,01.01.1993,01.01.1994,AMIGA OCS/ECS,"Kraweznik 1, Kraweznik 2","Demozoo, Pouet"
Kriik,Russian,,01.04.2003,01.11.2004,"PAPER, ZX Spectrum","kriik 3, kriik 4, Kriik 4, Kriik 4 (PDF), kriik#4","Demozoo, Pouet"
krik,,,01.08.2011,01.08.2011,ZX Spectrum,krik #11,Pouet
KrNews,Russian,Russia,09.01.1998,29.07.2003,ZX Spectrum,"KrNews #00, KrNews #01, KrNews #02, KrNews #03, KrNews #04, KrNews #05, KrNews #06, KrNews #07, KrNews #08, KrNews #09, KrNews #10, KrNews #11, KrNews #12, KrNews #13, KrNews #14, KrNews #15, KrNews #16",ZXpress
"Krush, Kill 'n' Destroy (KKND) Review",,,02.03.1997,02.03.1997,MS-DOS,"Kill 'n' Destroy (KKND) Review, Krush",Demozoo
L.A.P.D. Disk Catalogue,,,,,ATARI ST/E,"L.A.P.D. Disk Catalogue V16.7, L.A.P.D. Disk Catalogue V21.0",Demozoo
Lameness,,,01.06.1992,01.06.1992,MS-DOS,Lameness #6,Demozoo
Lamer,English,,01.10.1994,09.01.1996,Commodore 64,"Lamer #1, Lamer #1 (1994)(PDC), Lamer #2, Lamer #2 (1994)(PDC)","CSDB, Internet Archive"
Lamer Of The World,,,01.01.1994,28.02.1994,MS-DOS,"Lamer Of The World #1, Lamer Of The World #2",Demozoo
Lamergy,,,,,ZX Spectrum,,ZXpress
LameZin,,,01.01.2000,01.01.2000,AMIGA OCS/ECS,LameZin 2,Demozoo
Lancelot 2,,,01.11.1992,01.06.1994,MS-DOS,"Lancelot 2 #1, Lancelot 2 #10, Lancelot 2 #11, Lancelot 2 #2, Lancelot 2 #3, Lancelot 2 #4, Lancelot 2 #5, Lancelot 2 #6, Lancelot 2 #7, Lancelot 2 #8, Lancelot 2 #9",Demozoo
Lancelot Game Review Magazine,,,04.03.1991,26.03.1991,MS-DOS,"Lancelot Game Review Magazine #1, Lancelot Game Review Magazine #2",Demozoo
Lands Of Lore Solve,,,07.08.1993,07.08.1993,MS-DOS,Lands Of Lore Solve,Demozoo
Lano,,,01.06.1995,01.06.1996,"MS-DOS, MS-Dos/gus","Lano #1, Lano #3","Demozoo, Pouet"
Laser Squad Review,,,12.01.1993,12.01.1993,MS-DOS,Laser Squad Review,Demozoo
Last 128,Russian,Russia,01.01.2002,01.01.2002,ZX Spectrum,"Last 128 #01, Last 128 #02, Last 128 #03, Last 128 #04, Last 128 #05, Last 128 #06, Last 128 #08, Last 128 #09, Last 128 #3.5, Last 128 #8.025, Last 128 #M!R 01",ZXpress
Last Action Hero Review,,,01.07.1994,01.07.1994,MS-DOS,Last Action Hero Review,Demozoo
Lazernews,,,01.01.1990,01.01.1990,Commodore 64,Lazernews #001,CSDB
LBA,"English, Hungarian",,01.01.1996,01.08.1996,Commodore 64,"LBA #03 [hungarian], LBA #04 [hungarian], LBA #3 (1996)(IES), LBA #4 (1996)(IES)","CSDB, Internet Archive"
Le Reporter,,,01.09.1995,01.09.1995,MS-DOS,Le Reporter #8,Demozoo
Ledgers Diskmagazine,,,25.06.1991,03.09.1992,ATARI ST/E,"Ledgers Diskmagazine Volume 1, Ledgers Diskmagazine Volume 10, Ledgers Diskmagazine Volume 11, Ledgers Diskmagazine Volume 12, Ledgers Diskmagazine Volume 13, Ledgers Diskmagazine Volume 2, Ledgers Diskmagazine Volume 3, Ledgers Diskmagazine Volume 4 (V2.0), Ledgers Diskmagazine Volume 5, Ledgers Diskmagazine Volume 6, Ledgers Diskmagazine Volume 7, Ledgers Diskmagazine Volume 8, Ledgers Diskmagazine Volume 9",Demozoo
Leechers Dream,English,,,,Commodore 64,Leechers Dream #1 (19xx)( ),Internet Archive
Legend,,,01.11.2001,01.11.2001,WINDOWS,"Legend #2, Legend #3, Legend #4, Legend#2, Legend#3, Legend#4","Demozoo, Pouet"
Legion,,,27.12.1994,01.02.1996,AMIGA OCS/ECS,"Legion 1, Legion 2, Legion 3, Legion 4, Legion 5, Legion 6",Demozoo
Lejmbajzelek,,,01.01.2003,01.01.2003,AMIGA AGA,Lejmbajzelek 1,Demozoo
Lemmings Paintball Review,,,04.05.1996,04.05.1996,MS-DOS,Lemmings Paintball Review,Demozoo
Lethal News,English,,01.01.1990,01.05.1991,Commodore 64,"Lethal News #1, Lethal News #1 (1990)(Success), Lethal News #2, Lethal News #3, Lethal News #3 (1990 04)(Bonzai), Lethal News #4, Lethal News #4 (1990 05)(Bonzai), Lethal News #5, Lethal News #6, Lethal News #7, Lethal News #7 (1991)(Bonzai), Lethal News #8, Lethal News #8 (1991 05)(Bonzai), Lethal News 2, Lethal News 4, Lethal News 6","CSDB, Demozoo, Internet Archive, Pouet"
Lethal Tender,,,10.10.1993,14.10.1993,MS-DOS,"Lethal Tender Quick Dox, Lethal Tender Review",Demozoo
Lettermania,,,01.01.1992,01.01.1992,AMIGA OCS/ECS,Lettermania,Demozoo
Leuk & Stoer,,,01.08.1995,10.09.1996,AMIGA OCS/ECS,"Leuk & Stoer 1, Leuk & Stoer 2, Leuk & Stoer 3, Leuk & Stoer 4, Leuk & Stoer 6, Leuk & Stoer 7",Demozoo
Liberum Veto,English,,01.07.1993,01.07.1993,Commodore 64,"Liberum Veto #01, Liberum Veto #01 (1993)(Gedeon Lords of Darkness)","CSDB, Internet Archive"
Librairie Demos Catalogue,,,,,ATARI ST/E,Librairie Demos Catalogue,Demozoo
Lies,English,,12.12.1993,01.01.1994,Commodore 64,"Lies #1, Lies #1 (1993)(Anti Design), Lies #2, Lies #2 (1993)(Anti Design)","CSDB, Internet Archive"
Life,Russian,Russia,10.01.2004,15.05.2004,ZX Spectrum,"Life #01, Life #02, Life #03, Life #04, Life #05, Life #06",ZXpress
Life,"English, Polish",,01.01.1994,01.04.1994,Commodore 64,"Life #01 (1991 03)(DTR)(pl), Life #1, Life #2","CSDB, Internet Archive, Pouet"
Life Magazyn,English,,01.03.1991,01.03.1991,Commodore 64,"Life #01, Life Magazyn #1 (1991)(Deuter)","CSDB, Internet Archive"
Lifeforce,,,22.02.1997,22.02.1997,AMIGA OCS/ECS,Lifeforce 1,Demozoo
Light,English,,,,Commodore 64,"Light Vol.1 August (1992)(Datasphere Publications)(Disk 1 of 2 Side A), Light Vol.1 August (1992)(Datasphere Publications)(Disk 1 of 2 Side B), Light Vol.1 August (1992)(Datasphere Publications)(Disk 2 of 2 Side A), Light Vol.1 July (1992)(Datasphere Publications)(Disk 1 of 2 Side A), Light Vol.1 July (1992)(Datasphere Publications)(Disk 1 of 2 Side B), Light Vol.1 July (1992)(Datasphere Publications)(Disk 2 of 2 Side A), Light Vol.1 July (1992)(Datasphere Publications)(Disk 2 of 2 Side B), Light Vol.1 June (1992)(Datasphere Publications)(Disk 1 of 2 Side A), Light Vol.1 June (1992)(Datasphere Publications)(Disk 1 of 2 Side B), Light Vol.1 June (1992)(Datasphere Publications)(Disk 2 of 2 Side A), Light Vol.1 June (1992)(Datasphere Publications)(Disk 2 of 2 Side B), Light Vol.1 May (1992)(Datasphere Publications)(Disk 1 of 2 Side A), Light Vol.1 May (1992)(Datasphere Publications)(Disk 1 of 2 Side B), Light Vol.1 May (1992)(Datasphere Publications)(Disk 2 of 2 Side A), Light Vol.1 May (1992)(Datasphere Publications)(Disk 2 of 2 Side B), Light Vol.1 November (1992)(Datasphere Publications)(Side A), Light Vol.1 November (1992)(Datasphere Publications)(Side B), Light Vol.1 October (1992)(Datasphere Publications)(Side A), Light Vol.1 October (1992)(Datasphere Publications)(Side B), Light Vol.1 September (1992)(Datasphere Publications)(Side A), Light Vol.1 September (1992)(Datasphere Publications)(Side B)",Internet Archive
Ligia Fanzine,,,,,"AMIGA AGA, MS-DOS",Ligia Fanzine (1 to 7),Demozoo
